$ python3 optimize.py
Backing up original source...
Optimizing 6 parameters across 17 files. Initial value: [0.5, -0.5, -2.0, 16.0, 16.0, 2.0]

--- Generation 0 ---
Individual: 00 | Mean:  4939.98 (± 2126.64) | Genome: [0.5, -0.5, -2.0, 16.0, 16.0, 2.0]
Individual: 07 | Mean:  5457.29 (± 2042.95) | Genome: [0.4094602239769841, -0.6225401501868054, -1.2231400526593794, 9.126113161690068, 16.642823061614283, 1.7998906747581567]
Individual: 08 | Mean:  4360.80 (± 1939.29) | Genome: [0.4502602305178277, -0.6500651874681644, -2.7688631875395338, 14.6651024757268, 28.468055732051376, 2.410244020158115]
Individual: 09 | Mean:  4642.65 (± 1863.24) | Genome: [0.6771529434885616, -1.290493398743118, -1.5712588613361607, 10.212324897314403, 13.779043010059192, 2.5103711861336544]

--- Generation 2 ---
Individual: 00 | Mean:  4184.44 (± 1788.32) | Genome: [0.6989265600215834, -0.4996477510036366, -3.270182113545422, 16.04837583805477, 11.678993476263267, 2.8935482172159452]
Individual: 01 | Mean:  4068.38 (± 1957.26) | Genome: [0.7123537374346711, -0.38649841530524964, -3.2826492573083237, 13.047216404824, 24.312908616929352, 3.341262836657023]
Individual: 02 | Mean:  4272.82 (± 1940.75) | Genome: [0.43130830537800036, -0.7159899163144424, -3.068267018629633, 22.46450664904714, 18.769700188536056, 4.1892392309878685]
Individual: 03 | Mean:  4584.88 (± 2035.26) | Genome: [0.715608416371329, -0.4639298265544353, -2.116707894335963, 12.17229162793096, 21.04175135030213, 2.9896376154219912]
Individual: 04 | Mean:  5179.67 (± 2179.77) | Genome: [0.8362446115679552, -0.3386100650982903, -1.8994622320199006, 19.801154199366366, 9.589186030808909, 4.580182067947226]
Individual: 05 | Mean:  4045.51 (± 1929.47) | Genome: [0.5873884876192029, -0.616454804514919, -4.379885480044212, 23.557844474575855, 41.51427639227088, 2.2352593320698175]
Individual: 06 | Mean:  4215.40 (± 1837.81) | Genome: [0.6091190499956947, -0.3035721195778717, -3.5629439125295925, 14.934549746144048, 29.39331189609193, 1.9487244950347835]
Individual: 07 | Mean:  3315.29 (± 1538.57) | Genome: [0.8534107964167098, -0.6477419983734247, -4.135388810264493, 11.358716226712549, 17.362667735132195, 2.7895467830791394]
Individual: 08 | Mean:  4950.93 (± 2288.13) | Genome: [0.31717680939652926, -0.7886862399825572, -2.123574270760359, 26.464056365967508, 17.632257033821343, 2.534342975668321]
Individual: 09 | Mean:  3813.06 (± 1711.84) | Genome: [0.6866980450912513, -0.6694805294722226, -3.793310417457804, 8.152747401803074, 14.414047838071639, 2.7968564392197903]

--- Generation 3 ---
Individual: 00 | Mean:  3428.92 (± 1593.79) | Genome: [0.8534107964167098, -0.6477419983734247, -4.135388810264493, 11.358716226712549, 17.362667735132195, 2.7895467830791394]
Individual: 01 | Mean:  3894.02 (± 1913.47) | Genome: [0.6866980450912513, -0.6694805294722226, -3.793310417457804, 8.152747401803074, 14.414047838071639, 2.7968564392197903]
Individual: 02 | Mean:  3583.50 (± 1952.71) | Genome: [0.7683793437564351, -0.6258043525859273, -5.865122732723858, 9.409726469349138, 20.18195573450873, 2.8761929264348467]
Individual: 03 | Mean:  4440.65 (± 2230.25) | Genome: [0.4925701621072371, -0.2230016501798335, -3.035921533196462, 11.033776479010692, 57.78462392368896, 4.1960575471218355]
Individual: 04 | Mean:  3454.81 (± 1625.59) | Genome: [1.1058687501939977, -0.4699172962719695, -5.186878818421164, 6.280853755712644, 17.867930264391862, 3.863925416668206]
Individual: 05 | Mean:  4502.99 (± 2076.55) | Genome: [0.9066619659071445, -0.5085167914432053, -2.256018019448815, 6.489539196884636, 9.384730133057408, 1.9570425189179421]
Individual: 06 | Mean:  4280.03 (± 1828.99) | Genome: [0.5279801178831685, -0.3638359478639039, -3.9210071991742836, 12.404227284943762, 16.173788972995045, 3.028995171247625]
Individual: 07 | Mean:  3677.82 (± 1810.08) | Genome: [1.053830979252262, -0.805222043514859, -3.3881984739299447, 13.834328829984708, 12.325331980025625, 2.7388229209816606]
Individual: 08 | Mean:  4226.67 (± 2172.16) | Genome: [0.9723723570054709, -0.5532286275153424, -2.503470456265338, 8.100833823916156, 15.123540168524906, 2.990842909123748]
Individual: 09 | Mean:  3758.22 (± 1927.47) | Genome: [1.0992647736212442, -0.8730012462950766, -3.776064265233973, 10.398978579815758, 16.203052706396743, 4.920257623844178]

--- Generation 4 ---
Individual: 00 | Mean:  3863.53 (± 2104.43) | Genome: [0.8534107964167098, -0.6477419983734247, -4.135388810264493, 11.358716226712549, 17.362667735132195, 2.7895467830791394]
Individual: 01 | Mean:  3769.26 (± 1730.05) | Genome: [1.1058687501939977, -0.4699172962719695, -5.186878818421164, 6.280853755712644, 17.867930264391862, 3.863925416668206]
Individual: 02 | Mean:  3731.85 (± 1699.17) | Genome: [1.826326574714875, -0.7432909755757217, -3.441422113222785, 19.91236506439498, 14.456892571923087, 4.769795748081997]
Individual: 03 | Mean:  3842.85 (± 2027.93) | Genome: [0.9832082175850485, -0.707119741968859, -3.759438868301531, 9.22580297618305, 14.425125506540365, 3.3948910952496854]
Individual: 04 | Mean:  3821.57 (± 1566.72) | Genome: [0.8923096759808334, -1.0128887399372348, -3.4843383497278984, 10.21396285559532, 12.005346949542508, 3.446668439365124]
Individual: 05 | Mean:  3400.89 (± 1664.18) | Genome: [0.9241938573099656, -0.5926038004984129, -6.0461446485371395, 4.883535255342609, 23.971354180848497, 3.4047606826393033]
Individual: 06 | Mean:  3975.59 (± 1833.20) | Genome: [0.7152035665465934, -0.7777905324717298, -4.304736108657584, 10.17905954759486, 16.08362654115216, 2.494437697139989]
Individual: 07 | Mean:  3791.05 (± 1741.33) | Genome: [1.340438121302206, -0.435073694273013, -3.775547818916501, 8.825492807428784, 20.011626023476083, 3.1962883232149806]
Individual: 08 | Mean:  5002.02 (± 2134.14) | Genome: [0.6819448656028569, -0.26105404878282823, -2.9677950703337945, 8.247828407008809, 15.156028335634055, 5.208484340214287]
Individual: 09 | Mean:  3556.65 (± 1756.29) | Genome: [1.1473099159820337, -0.715943190101476, -6.782434623941369, 9.456117508068793, 12.896654013141733, 6.472063067652839]

--- Generation 5 ---
Individual: 00 | Mean:  3222.48 (± 1538.45) | Genome: [0.9241938573099656, -0.5926038004984129, -6.0461446485371395, 4.883535255342609, 23.971354180848497, 3.4047606826393033]
Individual: 01 | Mean:  3287.91 (± 1812.22) | Genome: [1.1473099159820337, -0.715943190101476, -6.782434623941369, 9.456117508068793, 12.896654013141733, 6.472063067652839]
Individual: 02 | Mean:  3258.08 (± 1500.85) | Genome: [0.9525252296028437, -0.6449370583296216, -7.361365442755954, 5.3580930069448325, 30.351815004657876, 2.4770717173339256]
Individual: 03 | Mean:  5030.33 (± 2052.23) | Genome: [0.7083385771890826, -0.8177221442004857, -4.40133682568016, 3.3041206291526133, 28.43488043152496, 9.541511855095312]
Individual: 04 | Mean:  3018.41 (± 1448.74) | Genome: [0.928542259090536, -0.6298939783053161, -7.495676212621154, 10.446374854215788, 19.402250878955527, 4.015787661023481]
Individual: 05 | Mean:  5078.29 (± 2064.99) | Genome: [1.2192156657794788, -0.7381587673529639, -2.693741183786822, 14.512452110538694, 13.571249078334633, 8.534733888829223]
Individual: 06 | Mean:  3897.59 (± 1845.58) | Genome: [1.5496487569994881, -0.3725462564487929, -4.573698812726396, 24.746055455538364, 9.588774378461807, 4.6698741497108625]
Individual: 07 | Mean:  3357.38 (± 1860.71) | Genome: [1.5223923733404665, -0.5890476632214906, -5.184256415370554, 21.579160362675157, 17.387599630127394, 4.167899358329367]
Individual: 08 | Mean:  4028.75 (± 1853.30) | Genome: [1.316519221531083, -0.5808612185981818, -3.7204644924179364, 10.618571261572235, 18.296152839574628, 3.8219488434924456]
Individual: 09 | Mean:  3448.09 (± 1705.67) | Genome: [0.8896959440642285, -0.6709710379711387, -4.337986812252663, 9.594887503737967, 13.53022221436845, 3.861742259873234]

--- Generation 6 ---
Individual: 00 | Mean:  3424.60 (± 1696.02) | Genome: [0.928542259090536, -0.6298939783053161, -7.495676212621154, 10.446374854215788, 19.402250878955527, 4.015787661023481]
Individual: 01 | Mean:  3437.89 (± 1656.05) | Genome: [0.9241938573099656, -0.5926038004984129, -6.0461446485371395, 4.883535255342609, 23.971354180848497, 3.4047606826393033]
Individual: 02 | Mean:  3257.15 (± 1903.86) | Genome: [1.7436015292054199, -0.9870279839087225, -5.734076100408157, 16.138243533519628, 15.095384352098312, 7.400263731681383]
Individual: 03 | Mean:  3495.93 (± 1660.56) | Genome: [0.7479223191590069, -0.7236965234267493, -5.230982041184753, 24.022849066242586, 17.11965225663804, 4.234429557927976]
Individual: 04 | Mean:  3493.23 (± 1602.98) | Genome: [1.7829042314274928, -0.37137335381558906, -5.563835695970518, 3.650983634112564, 30.328779722543878, 3.5377385710315585]
Individual: 05 | Mean:  3208.15 (± 1746.06) | Genome: [1.0024829760749168, -0.7545849597421829, -7.274258566916035, 9.629647326027293, 21.317929733546613, 2.795897774154014]
Individual: 06 | Mean:  3015.09 (± 1630.18) | Genome: [1.1788121490180599, -0.5231814151887634, -7.480337091537688, 4.95174916658225, 15.26153392206444, 2.676610854471345]
Individual: 07 | Mean:  3578.02 (± 1675.09) | Genome: [1.0028436113120422, -0.4475316089989007, -4.619461374758756, 8.482587709560757, 14.501218795415294, 3.1308010758882663]
Individual: 08 | Mean:  3456.92 (± 1752.65) | Genome: [1.037220106993646, -0.8230049758384013, -8.505043026276564, 8.500026075506796, 40.37258979708023, 2.1313025268258485]
Individual: 09 | Mean:  3083.45 (± 1446.21) | Genome: [1.4681358447444057, -0.5776023751211745, -7.879212972858527, 7.9460625449505935, 16.08685799742386, 4.07964889373015]

--- Generation 7 ---
Individual: 00 | Mean:  2903.75 (± 1487.43) | Genome: [1.1788121490180599, -0.5231814151887634, -7.480337091537688, 4.95174916658225, 15.26153392206444, 2.676610854471345]
Individual: 01 | Mean:  2727.21 (± 1438.34) | Genome: [1.4681358447444057, -0.5776023751211745, -7.879212972858527, 7.9460625449505935, 16.08685799742386, 4.07964889373015]
Individual: 02 | Mean:  3992.89 (± 1673.56) | Genome: [2.3210415669417817, -1.0078618552569896, -4.582296778772556, 15.282171482170646, 18.816062766790996, 9.65693381446667]
Individual: 03 | Mean:  2974.53 (± 1622.66) | Genome: [0.8999464458361198, -0.46693672802143465, -8.992629257827188, 4.1915508556940235, 32.44941546000783, 3.247085246526327]
Individual: 04 | Mean:  3013.29 (± 1497.55) | Genome: [1.0226250157065992, -0.40721763639665376, -11.205681703588942, 4.429284370201206, 24.344541414365143, 2.834482679750445]
Individual: 05 | Mean:  3344.38 (± 1672.66) | Genome: [0.7684496430158363, -0.6414717832362182, -8.824683851898703, 12.241518263828901, 25.03783355446696, 2.579432532906168]
Individual: 06 | Mean:  3651.05 (± 1846.29) | Genome: [0.8367896381177682, -0.6407311306565535, -4.729786011370968, 9.880052977742064, 14.65411343137321, 1.9719903778530872]
Individual: 07 | Mean:  2992.37 (± 1695.02) | Genome: [1.0134159182487448, -0.35046430308499965, -8.300430421705338, 5.150840360013356, 12.665289092887608, 2.2778773241157264]
Individual: 08 | Mean:  3054.01 (± 1784.16) | Genome: [0.8938163563703972, -0.8905582075108972, -9.250421870124558, 13.30298258971887, 16.369144848234356, 3.4501984019045104]
Individual: 09 | Mean:  2868.65 (± 1514.26) | Genome: [1.2100004814307825, -0.8549922274908917, -9.808798500243, 14.6130382622435, 19.45393123948143, 6.777236124161125]

--- Generation 8 ---
Individual: 00 | Mean:  2811.51 (± 1518.65) | Genome: [1.4681358447444057, -0.5776023751211745, -7.879212972858527, 7.9460625449505935, 16.08685799742386, 4.07964889373015]
Individual: 01 | Mean:  2901.45 (± 1471.80) | Genome: [1.2100004814307825, -0.8549922274908917, -9.808798500243, 14.6130382622435, 19.45393123948143, 6.777236124161125]
Individual: 02 | Mean:  2851.97 (± 1346.21) | Genome: [1.0238466090900573, -1.0688097651421198, -9.547627356296083, 5.968162046254842, 20.897391955420915, 5.577684590542307]
Individual: 03 | Mean:  3059.65 (± 2051.49) | Genome: [1.568710212620028, -0.5360390324832273, -11.21124659345771, 3.1918963497150106, 18.555282807218845, 2.0273293446322946]
Individual: 04 | Mean:  3475.83 (± 1510.87) | Genome: [0.8007243478270356, -0.39306673316543383, -8.32075904159884, 4.554263475727762, 23.53625064787519, 8.69569698910869]
Individual: 05 | Mean:  2970.77 (± 1813.90) | Genome: [1.9582917418029504, -0.5246084356106979, -7.571751730766816, 4.325499638868146, 18.586217024800018, 2.1450350447041036]
Individual: 06 | Mean:  3412.55 (± 1753.61) | Genome: [0.5654337001429502, -0.5246324620415476, -11.479079660809992, 6.838636693819621, 32.60728593206127, 2.730697652929077]
Individual: 07 | Mean:  3324.44 (± 1593.82) | Genome: [1.0355211835103022, -0.6089631860911096, -7.757934630458254, 4.687906424615409, 23.676008661186255, 5.698311940108065]
Individual: 08 | Mean:  3159.30 (± 1544.99) | Genome: [1.1995553436528417, -0.486519589552905, -11.001265689942024, 2.7566189922819304, 34.6403271389311, 2.905389075104688]
Individual: 09 | Mean:  3310.10 (± 1905.13) | Genome: [1.0394985426351324, -0.45673986494361773, -6.070552049165093, 4.091001687070563, 13.102421389513239, 3.6255769544354415]

--- Generation 9 ---
Individual: 00 | Mean:  2846.72 (± 1389.69) | Genome: [1.4681358447444057, -0.5776023751211745, -7.879212972858527, 7.9460625449505935, 16.08685799742386, 4.07964889373015]
Individual: 01 | Mean:  3090.17 (± 1664.09) | Genome: [1.0238466090900573, -1.0688097651421198, -9.547627356296083, 5.968162046254842, 20.897391955420915, 5.577684590542307]
Individual: 02 | Mean:  2980.05 (± 1532.38) | Genome: [1.2630046027956547, -0.9879752558068807, -14.862761386648012, 12.026511763032017, 19.344892768939726, 9.363920323571339]
Individual: 03 | Mean:  2986.89 (± 1491.06) | Genome: [1.210671023248173, -0.6671263981866384, -10.128266452976403, 2.612210728878203, 29.495940085621783, 4.3785323266774]
Individual: 04 | Mean:  3046.61 (± 1935.62) | Genome: [1.960671176431956, -0.4485778867267032, -11.11614536166732, 3.0369834142883905, 14.093366776248962, 2.698270615962084]
Individual: 05 | Mean:  2850.19 (± 1477.68) | Genome: [2.9073934606512517, -1.0365179366236281, -4.62199334284152, 2.785582370546937, 17.57961984359173, 2.559596744567353]
Individual: 06 | Mean:  3075.80 (± 1648.15) | Genome: [0.6770842459133575, -0.492032181768086, -11.504529726562803, 6.596119143888528, 21.7833145300938, 2.2876018239625666]
Individual: 07 | Mean:  3462.82 (± 1904.24) | Genome: [1.6899860849107267, -0.41136280434755335, -6.849464944351668, 4.009287813745887, 17.135389802549895, 2.3549772597513092]
Individual: 08 | Mean:  3135.17 (± 1851.66) | Genome: [0.9586119470865829, -0.2945406846195066, -6.112745291303138, 4.346989364270962, 18.94568869986863, 3.0037984118983605]
Individual: 09 | Mean:  2993.40 (± 1598.30) | Genome: [1.0110975393165849, -0.6242766496588275, -13.833222429626913, 18.011712705743044, 10.676309998423799, 5.364701157479492]

--- Generation 10 ---
Individual: 00 | Mean:  3190.04 (± 1676.67) | Genome: [1.4681358447444057, -0.5776023751211745, -7.879212972858527, 7.9460625449505935, 16.08685799742386, 4.07964889373015]
Individual: 01 | Mean:  3298.25 (± 1753.96) | Genome: [2.9073934606512517, -1.0365179366236281, -4.62199334284152, 2.785582370546937, 17.57961984359173, 2.559596744567353]
Individual: 02 | Mean:  2897.23 (± 1511.55) | Genome: [1.2751699064514415, -0.4819860118618549, -7.4022586179886165, 9.891136767711869, 14.527365007215174, 3.674971460529046]
Individual: 03 | Mean:  2848.40 (± 1515.35) | Genome: [1.1059334394799107, -0.7906773439509425, -12.434764824465535, 9.897082314608591, 15.893891181317292, 4.8123889519985035]
Individual: 04 | Mean:  2953.80 (± 1609.23) | Genome: [1.4310073104171563, -0.8198765063054033, -10.374993235010729, 3.7275352935840638, 21.721005651184107, 3.886100920103737]
Individual: 05 | Mean:  2864.29 (± 1362.35) | Genome: [1.3589926482068804, -0.9448771195120367, -6.150554121109504, 11.857588835979442, 14.242775323645077, 3.24635891062718]
Individual: 06 | Mean:  2891.50 (± 1305.01) | Genome: [1.538440422239559, -0.6354482439959502, -10.383784050275176, 3.5146439147344752, 16.258478613840566, 5.516138692673062]
Individual: 07 | Mean:  3475.80 (± 1764.94) | Genome: [0.8626889884121097, -0.851201699313417, -6.075324436803431, 2.0570680431619675, 22.38283321261997, 1.8817801798735447]
Individual: 08 | Mean:  3434.34 (± 1685.01) | Genome: [1.181976357467263, -0.8944426091200319, -9.699806009061849, 8.291241474392924, 46.48791728926847, 2.455722857025769]
Individual: 09 | Mean:  3815.80 (± 1876.51) | Genome: [1.1800199315025812, -0.4514217251528032, -4.4988322377290055, 5.861735472203468, 18.018461022956778, 5.094459754779449]

--- Generation 11 ---
Individual: 00 | Mean:  3399.19 (± 1735.41) | Genome: [1.1059334394799107, -0.7906773439509425, -12.434764824465535, 9.897082314608591, 15.893891181317292, 4.8123889519985035]
Individual: 01 | Mean:  2831.15 (± 1424.63) | Genome: [1.3589926482068804, -0.9448771195120367, -6.150554121109504, 11.857588835979442, 14.242775323645077, 3.24635891062718]
Individual: 02 | Mean:  3211.08 (± 1762.78) | Genome: [1.0643923882989943, -0.6238019510487026, -16.99439397057136, 5.555677533143689, 9.784322408959722, 5.466084717386968]
Individual: 03 | Mean:  3464.23 (± 1442.34) | Genome: [1.374936000963156, -0.690144064942691, -7.398809880268718, 2.3534953719220395, 15.781699649259378, 7.07769586565512]
Individual: 04 | Mean:  3249.89 (± 1531.03) | Genome: [0.9315814247936285, -1.1040949726586329, -8.411593212764929, 9.234959434640162, 18.497114191941286, 6.667086447356265]
Individual: 05 | Mean:  2804.93 (± 1641.13) | Genome: [1.2578285921942989, -0.671659009738893, -11.053209014609786, 9.666516134402766, 11.175242582638628, 5.135134357914557]
Individual: 06 | Mean:  3029.97 (± 1605.78) | Genome: [1.2132695792981167, -0.48059085538280194, -7.917974698340811, 12.072883457365075, 13.137647574067266, 5.967474821196569]
Individual: 07 | Mean:  2934.33 (± 1637.94) | Genome: [1.581254062309602, -0.7033224480598007, -14.379209690316722, 12.883585649478825, 14.827495065194237, 7.171562474238406]
Individual: 08 | Mean:  2827.29 (± 1375.66) | Genome: [1.3693673958862989, -0.7351075866437263, -7.181466369904129, 13.163516315261948, 14.816567190554842, 3.1656294599311168]
Individual: 09 | Mean:  3188.78 (± 1725.39) | Genome: [1.139433215920592, -0.4764120859798008, -10.96792204349185, 2.9597485342712617, 12.200772538533307, 8.251216574143267]
